x angle0interp angle0integration angle1interp angle1integration angle2interp angle2integration angle3interp angle3integration angle4interp angle4integration angle5interp angle5integration angle6interp angle6integration angle7interp angle7integration 
6.706706707 -8.257539723e-06 -8.243061372e-06 -7.8440478e-05 -7.842701973e-05 -0.0002502095194 -0.0002502098983 -0.0004253678795 -0.0004253704274 -0.0004989301934 -0.000498932429 -0.0004253678795 -0.0004253704274 -0.0002502095194 -0.0002502098983 -7.8440478e-05 -7.842701973e-05 
6.806806807 -7.505010312e-06 -7.491170587e-06 -7.336847192e-05 -7.335477564e-05 -0.0002345144577 -0.0002345197678 -0.0003987909129 -0.0003987905917 -0.0004677569524 -0.0004677603715 -0.0003987909129 -0.0003987905917 -0.0002345144577 -0.0002345197678 -7.336847192e-05 -7.335477564e-05 
6.906906907 -6.826681035e-06 -6.813764969e-06 -6.865594021e-05 -6.864311169e-05 -0.0002198868776 -0.0002198974005 -0.0003740101792 -0.0003740097467 -0.0004386953005 -0.0004386974508 -0.0003740101792 -0.0003740097467 -0.0002198868776 -0.0002198974005 -6.865594021e-05 -6.864311169e-05 
7.007007007 -6.215092805e-06 -6.202806538e-06 -6.427474272e-05 -6.426332836e-05 -0.0002062497918 -0.0002062626207 -0.0003508923798 -0.0003508938961 -0.000411586002 -0.0004115866638 -0.0003508923798 -0.0003508938961 -0.0002062497918 -0.0002062626207 -6.427474272e-05 -6.426332836e-05 
7.107107107 -5.663365075e-06 -5.651203138e-06 -6.019919269e-05 -6.018931826e-05 -0.0001935287023 -0.000193541989 -0.0003293159131 -0.0003293201761 -0.0003862840789 -0.0003862840384 -0.0003293159131 -0.0003293201761 -0.0001935287023 -0.000193541989 -6.019919269e-05 -6.018931826e-05 
7.207207207 -5.165061313e-06 -5.152687187e-06 -5.640566896e-05 -5.639729914e-05 -0.0001816558527 -0.0001816681636 -0.0003091700418 -0.0003091758151 -0.0003626572399 -0.0003626574169 -0.0003091700418 -0.0003091758151 -0.0001816558527 -0.0001816681636 -5.640566896e-05 -5.639729914e-05 
7.307307307 -4.714262544e-06 -4.701711316e-06 -5.287246402e-05 -5.286557803e-05 -0.000170569692 -0.0001705793299 -0.0002903537464 -0.0002903572026 -0.0003405845435 -0.0003405853684 -0.0002903537464 -0.0002903572026 -0.000170569692 -0.0001705793299 -5.287246402e-05 -5.286557803e-05 
7.407407407 -4.305431508e-06 -4.293358356e-06 -4.957965652e-05 -4.957434267e-05 -0.0001602137834 -0.0001602186906 -0.0002727687229 -0.0002727690553 -0.0003199552614 -0.0003199562136 -0.0002727687229 -0.0002727690553 -0.0001602137834 -0.0001602186906 -4.957965652e-05 -4.957434267e-05 
7.507507508 -3.933701476e-06 -3.92326355e-06 -4.650902882e-05 -4.65054765e-05 -0.0001505323795 -0.0001505340084 -0.0002563243166 -0.0002563236687 -0.0003006679088 -0.0003006671488 -0.0002563243166 -0.0002563236687 -0.0001505323795 -0.0001505340084 -4.650902882e-05 -4.65054765e-05 
7.607607608 -3.594862797e-06 -3.587547164e-06 -4.364404751e-05 -4.364239429e-05 -0.0001414761738 -0.0001414771959 -0.0002409397724 -0.0002409402431 -0.0002826293453 -0.0002826234585 -0.0002409397724 -0.0002409402431 -0.0001414761738 -0.0001414771959 -4.364404751e-05 -4.364239429e-05 
7.707707708 -3.285478319e-06 -3.282756016e-06 -4.096991786e-05 -4.096989578e-05 -0.0001330013795 -0.0001330039473 -0.0002265414276 -0.0002265442785 -0.0002657473542 -0.0002657378065 -0.0002265414276 -0.0002265442785 -0.0001330013795 -0.0001330039473 -4.096991786e-05 -4.096989578e-05 
7.807807808 -3.002972266e-06 -3.005812636e-06 -3.847351343e-05 -3.847403519e-05 -0.0001250682989 -0.0001250734061 -0.0002130620371 -0.000213067027 -0.0002499380425 -0.0002499295959 -0.0002130620371 -0.000213067027 -0.0001250682989 -0.0001250734061 -3.847351343e-05 -3.847403519e-05 
7.907907908 -2.745815802e-06 -2.753970988e-06 -3.614341683e-05 -3.614200453e-05 -0.0001176410879 -0.000117647866 -0.0002004403733 -0.000200445 -0.0002351284071 -0.0002351243916 -0.0002004403733 -0.000200445 -0.0001176410879 -0.000117647866 -3.614341683e-05 -3.614200453e-05 
8.008008008 -2.513520678e-06 -2.524777839e-06 -3.396629028e-05 -3.396202924e-05 -0.0001106875453 -0.0001106925007 -0.0001886192626 -0.0001886195213 -0.0002212517527 -0.0002212533983 -0.0001886192626 -0.0001886195213 -0.0001106875453 -0.0001106925007 -3.396629028e-05 -3.396202924e-05 
8.108108108 -2.306666325e-06 -2.316038981e-06 -3.192534426e-05 -3.192327454e-05 -0.0001041761646 -0.0001041751196 -0.0001775445683 -0.0001775363234 -0.0002082472501 -0.0002082529852 -0.0001775445683 -0.0001775363234 -0.0001041761646 -0.0001041751196 -3.192534426e-05 -3.192327454e-05 
8.208208208 -2.126874294e-06 -2.125789688e-06 -3.001271272e-05 -3.001576137e-05 -9.807500045e-05 -9.806594684e-05 -0.0001671554708 -0.0001671451808 -0.0001960595207 -0.0001960642612 -0.0001671554708 -0.0001671451808 -9.807500045e-05 -9.806594684e-05 -3.001271272e-05 -3.001576137e-05 
8.308308308 -1.961647466e-06 -1.952268784e-06 -2.822266106e-05 -2.823029075e-05 -9.234635273e-05 -9.233742044e-05 -0.0001574054746 -0.0001573995781 -0.000184631993 -0.0001846326816 -0.0001574054746 -0.0001573995781 -9.234635273e-05 -9.233742044e-05 -2.822266106e-05 -2.823029075e-05 
8.408408408 -1.801610371e-06 -1.793895891e-06 -2.655125017e-05 -2.655837568e-05 -8.696666046e-05 -8.696401066e-05 -0.0001482554993 -0.0001482564072 -0.0001739048219 -0.0001739076963 -0.0001482554993 -0.0001482564072 -8.696666046e-05 -8.696401066e-05 -2.655125017e-05 -2.655837568e-05 
8.508508509 -1.649472306e-06 -1.649251409e-06 -2.499303771e-05 -2.499217968e-05 -8.191699529e-05 -8.192205457e-05 -0.0001396705478 -0.0001396756926 -0.0001638362125 -0.0001638424271 -0.0001396705478 -0.0001396756926 -8.191699529e-05 -8.192205457e-05 -2.499303771e-05 -2.499217968e-05 
8.608608609 -1.509414981e-06 -1.517058891e-06 -2.353276329e-05 -2.352446124e-05 -7.718124478e-05 -7.718960566e-05 -0.0001316185975 -0.0001316203425 -0.0001543892034 -0.0001543933755 -0.0001316185975 -0.0001316203425 -7.718124478e-05 -7.718960566e-05 -2.353276329e-05 -2.352446124e-05 
8.708708709 -1.386916599e-06 -1.396169498e-06 -2.215340825e-05 -2.214852366e-05 -7.274403369e-05 -7.274629689e-05 -0.0001240546274 -0.0001240559177 -0.0001455247012 -0.0001455201538 -0.0001240546274 -0.0001240559177 -7.274403369e-05 -7.274629689e-05 -2.215340825e-05 -2.214852366e-05 
8.808808809 -1.288112132e-06 -1.285548268e-06 -2.08544238e-05 -2.085816953e-05 -6.857574666e-05 -6.857321583e-05 -0.0001169476008 -0.0001169504263 -0.0001371935022 -0.0001371852425 -0.0001169476008 -0.0001169504263 -6.857574666e-05 -6.857321583e-05 -2.08544238e-05 -2.085816953e-05 
8.908908909 -1.192664513e-06 -1.184261975e-06 -1.963846825e-05 -1.964765947e-05 -6.465609639e-05 -6.46527907e-05 -0.0001102740372 -0.000110274132 -0.000129355202 -0.000129353767 -0.0001102740372 -0.000110274132 -6.465609639e-05 -6.46527907e-05 -1.963846825e-05 -1.964765947e-05 
